Year,weight,Location_of_Residence,HH_Income,Head_of_HH_Age,Head_of_HH_Gender,Hispanic_Origin_of_HH,Head_of_HH_Race,Head_of_HH_RaceOrigin,HH_Size,Population_Size,HH_Region,Police_Notified,Agg_of_PropertyCrime,Type_of_Crime,Victim_Services,Location_of_Incident
2014,1395.34322,2,7,3,1,2,1,1,3,1,4,2,3,8,2,1
2014,1395.34322,2,7,3,1,2,1,1,3,1,4,2,3,8,2,1
2014,2186.82491,1,88,5,1,2,1,1,4,5,4,2,3,8,2,4
2014,2996.20207,1,3,4,2,2,1,1,1,3,4,2,3,8,2,1
2014,1657.26398,1,7,2,2,2,1,1,3,3,4,1,3,8,2,1
2014,1344.95868,2,6,5,1,2,1,1,3,1,4,2,3,8,2,5
2014,2796.04137,1,6,2,1,1,1,4,2,1,4,2,3,7,2,1
2014,1423.83833,1,88,3,2,2,2,2,2,1,3,1,3,8,2,1
2014,1412.73127,2,88,5,2,1,1,4,1,0,4,1,3,7,2,1
2014,1493.70023,1,6,2,2,2,1,1,2,2,4,1,3,8,2,3
2014,1479.43564,2,3,3,2,2,1,1,1,1,3,2,3,8,2,1
2014,1529.64579,1,6,5,1,2,1,1,2,2,4,1,3,6,2,1
2014,2812.53951,3,88,4,1,2,1,1,2,1,4,1,3,8,2,2
2014,1696.05561,1,3,2,1,2,3,3,2,2,2,1,3,8,2,3
2014,1891.27579,2,6,2,2,2,3,3,3,1,4,1,3,8,2,1
2014,2841.14424,1,7,3,2,1,1,4,3,4,4,2,3,8,2,1
2014,2669.23489,2,1,3,2,2,1,1,2,0,4,2,3,8,2,2
2014,1410.94873,3,88,5,1,2,1,1,3,1,4,1,3,8,2,1
2014,1367.80484,2,6,3,2,2,1,1,2,2,3,2,3,8,2,1
2014,2950.79966,2,6,5,1,2,1,1,3,0,3,2,3,8,2,4
2014,2863.84937,3,5,2,1,1,1,4,4,1,4,1,3,6,2,1
2014,2863.84937,3,5,2,1,1,1,4,4,1,4,1,3,6,2,1
2014,2863.84937,3,5,2,1,1,1,4,4,1,4,2,3,8,2,1
2014,2595.51568,1,3,4,2,2,1,1,2,3,4,2,3,8,2,1
2014,2871.42777,2,7,4,1,1,1,4,4,1,4,1,3,8,2,3
2014,2613.39004,2,7,4,1,2,1,1,2,1,3,2,3,8,2,1
2014,2708.01212,2,6,4,1,2,1,1,2,1,4,2,3,8,2,1
2014,3204.45975,2,7,3,1,1,1,4,3,1,4,1,3,8,2,1
2014,2222.52981,3,3,3,2,2,3,3,3,0,3,2,3,8,2,1
2014,2222.52981,3,3,3,2,2,3,3,3,0,3,2,3,8,2,1
2014,2222.52981,3,3,3,2,2,3,3,3,0,3,1,3,6,2,1
2014,2731.95489,2,3,2,2,1,1,4,3,1,4,2,3,8,2,3
2014,27372.7252,1,1,2,2,1,1,4,2,5,4,2,3,8,2,3
2014,1508.05619,2,88,5,2,2,1,1,2,0,3,3,3,8,2,5
2014,1508.05619,2,88,5,2,2,1,1,2,0,3,3,3,8,2,5
2014,2514.73018,1,88,3,1,2,3,3,1,4,3,2,3,8,2,3
2014,2496.64995,2,7,4,1,2,1,1,2,1,3,1,3,6,2,1
2014,1479.04817,3,3,4,2,2,1,1,1,0,3,2,3,8,2,1
2014,2378.06541,3,2,3,1,2,1,1,4,0,3,2,3,6,2,1
